[Header]
Application Name	LabSolutions
Version	5.98SP1
Data File Name	C:\LabSolutions\Data\spiroindane_pyrrolidines\level1_03302021_1.lcd
Output Date	4/9/2021
Output Time	4:33:07 PM

[Configuration]
Instrument Name	MDCM-420DJB2-Instrument1
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	2

[LC Chromatogram(Detector A-Ch1)]
Interval(msec)	500
# of Points	961
Start Time(min)	0.000
End Time(min)	8.000
Intensity Units	mAU
Intensity Multiplier	0.001
Wavelength(nm)	254nm
R.Time (min)	Intensity
0.00000	-11
0.00833	-11
0.01667	-0
0.02500	-1
0.03333	-3
0.04167	-4
0.05000	-4
0.05833	-3
0.06667	-1
0.07500	1
0.08333	3
0.09167	3
0.10000	1
0.10833	-0
0.11667	-2
0.12500	-3
0.13333	-3
0.14167	-3
0.15000	-2
0.15833	-1
0.16667	0
0.17500	1
0.18333	3
0.19167	3
0.20000	4
0.20833	3
0.21667	3
0.22500	2
0.23333	1
0.24167	-1
0.25000	-2
0.25833	-3
0.26667	-4
0.27500	-4
0.28333	-3
0.29167	-3
0.30000	-2
0.30833	-2
0.31667	-2
0.32500	-2
0.33333	-0
0.34167	3
0.35000	6
0.35833	11
0.36667	18
0.37500	27
0.38333	37
0.39167	48
0.40000	58
0.40833	64
0.41667	66
0.42500	66
0.43333	68
0.44167	71
0.45000	74
0.45833	78
0.46667	79
0.47500	78
0.48333	75
0.49167	72
0.50000	70
0.50833	67
0.51667	65
0.52500	63
0.53333	63
0.54167	78
0.55000	123
0.55833	214
0.56667	380
0.57500	613
0.58333	831
0.59167	997
0.60000	1082
0.60833	1057
0.61667	947
0.62500	816
0.63333	687
0.64167	571
0.65000	467
0.65833	374
0.66667	295
0.67500	227
0.68333	174
0.69167	131
0.70000	99
0.70833	76
0.71667	61
0.72500	52
0.73333	47
0.74167	44
0.75000	42
0.75833	40
0.76667	38
0.77500	37
0.78333	36
0.79167	35
0.80000	33
0.80833	32
0.81667	31
0.82500	31
0.83333	31
0.84167	32
0.85000	33
0.85833	34
0.86667	35
0.87500	35
0.88333	34
0.89167	34
0.90000	32
0.90833	30
0.91667	27
0.92500	25
0.93333	25
0.94167	27
0.95000	28
0.95833	29
0.96667	28
0.97500	26
0.98333	23
0.99167	21
1.00000	21
1.00833	21
1.01667	22
1.02500	22
1.03333	23
1.04167	23
1.05000	23
1.05833	24
1.06667	25
1.07500	24
1.08333	22
1.09167	20
1.10000	17
1.10833	15
1.11667	14
1.12500	13
1.13333	13
1.14167	13
1.15000	13
1.15833	12
1.16667	11
1.17500	10
1.18333	10
1.19167	10
1.20000	11
1.20833	11
1.21667	11
1.22500	11
1.23333	10
1.24167	10
1.25000	10
1.25833	8
1.26667	7
1.27500	5
1.28333	3
1.29167	2
1.30000	1
1.30833	0
1.31667	1
1.32500	3
1.33333	6
1.34167	9
1.35000	13
1.35833	16
1.36667	20
1.37500	25
1.38333	30
1.39167	35
1.40000	40
1.40833	45
1.41667	49
1.42500	54
1.43333	60
1.44167	67
1.45000	75
1.45833	84
1.46667	91
1.47500	97
1.48333	102
1.49167	107
1.50000	113
1.50833	119
1.51667	127
1.52500	134
1.53333	143
1.54167	152
1.55000	164
1.55833	176
1.56667	189
1.57500	205
1.58333	221
1.59167	236
1.60000	252
1.60833	267
1.61667	284
1.62500	300
1.63333	318
1.64167	336
1.65000	356
1.65833	376
1.66667	397
1.67500	419
1.68333	441
1.69167	465
1.70000	490
1.70833	516
1.71667	544
1.72500	572
1.73333	602
1.74167	633
1.75000	665
1.75833	698
1.76667	730
1.77500	764
1.78333	797
1.79167	830
1.80000	862
1.80833	893
1.81667	922
1.82500	949
1.83333	974
1.84167	996
1.85000	1012
1.85833	1023
1.86667	1026
1.87500	1022
1.88333	1019
1.89167	1020
1.90000	1029
1.90833	1049
1.91667	1080
1.92500	1117
1.93333	1159
1.94167	1202
1.95000	1246
1.95833	1289
1.96667	1327
1.97500	1362
1.98333	1393
1.99167	1421
2.00000	1445
2.00833	1463
2.01667	1478
2.02500	1484
2.03333	1483
2.04167	1478
2.05000	1471
2.05833	1467
2.06667	1468
2.07500	1475
2.08333	1485
2.09167	1496
2.10000	1506
2.10833	1514
2.11667	1518
2.12500	1519
2.13333	1518
2.14167	1517
2.15000	1514
2.15833	1511
2.16667	1507
2.17500	1502
2.18333	1498
2.19167	1495
2.20000	1495
2.20833	1497
2.21667	1504
2.22500	1517
2.23333	1541
2.24167	1581
2.25000	1649
2.25833	1753
2.26667	1904
2.27500	2116
2.28333	2385
2.29167	2727
2.30000	3114
2.30833	3529
2.31667	3923
2.32500	4157
2.33333	4180
2.34167	4001
2.35000	3614
2.35833	3118
2.36667	2658
2.37500	2271
2.38333	1988
2.39167	1804
2.40000	1694
2.40833	1633
2.41667	1604
2.42500	1595
2.43333	1598
2.44167	1607
2.45000	1620
2.45833	1639
2.46667	1670
2.47500	1720
2.48333	1806
2.49167	1946
2.50000	2148
2.50833	2430
2.51667	2779
2.52500	3138
2.53333	3484
2.54167	3711
2.55000	3735
2.55833	3574
2.56667	3262
2.57500	2835
2.58333	2425
2.59167	2083
2.60000	1824
2.60833	1648
2.61667	1537
2.62500	1469
2.63333	1430
2.64167	1408
2.65000	1396
2.65833	1391
2.66667	1390
2.67500	1391
2.68333	1393
2.69167	1395
2.70000	1398
2.70833	1398
2.71667	1396
2.72500	1391
2.73333	1384
2.74167	1378
2.75000	1373
2.75833	1371
2.76667	1375
2.77500	1388
2.78333	1412
2.79167	1451
2.80000	1501
2.80833	1563
2.81667	1633
2.82500	1697
2.83333	1750
2.84167	1781
2.85000	1784
2.85833	1762
2.86667	1722
2.87500	1666
2.88333	1609
2.89167	1554
2.90000	1506
2.90833	1469
2.91667	1440
2.92500	1421
2.93333	1408
2.94167	1401
2.95000	1398
2.95833	1398
2.96667	1400
2.97500	1402
2.98333	1404
2.99167	1405
3.00000	1405
3.00833	1404
3.01667	1404
3.02500	1404
3.03333	1404
3.04167	1405
3.05000	1406
3.05833	1408
3.06667	1409
3.07500	1411
3.08333	1413
3.09167	1414
3.10000	1415
3.10833	1414
3.11667	1412
3.12500	1409
3.13333	1403
3.14167	1398
3.15000	1393
3.15833	1391
3.16667	1390
3.17500	1390
3.18333	1391
3.19167	1390
3.20000	1387
3.20833	1382
3.21667	1374
3.22500	1365
3.23333	1355
3.24167	1346
3.25000	1337
3.25833	1328
3.26667	1321
3.27500	1314
3.28333	1308
3.29167	1303
3.30000	1298
3.30833	1296
3.31667	1296
3.32500	1297
3.33333	1300
3.34167	1302
3.35000	1306
3.35833	1309
3.36667	1314
3.37500	1320
3.38333	1326
3.39167	1332
3.40000	1338
3.40833	1343
3.41667	1348
3.42500	1352
3.43333	1356
3.44167	1359
3.45000	1359
3.45833	1358
3.46667	1356
3.47500	1355
3.48333	1356
3.49167	1361
3.50000	1370
3.50833	1389
3.51667	1421
3.52500	1475
3.53333	1563
3.54167	1708
3.55000	1947
3.55833	2328
3.56667	2946
3.57500	3899
3.58333	5334
3.59167	7470
3.60000	10391
3.60833	14362
3.61667	19421
3.62500	25296
3.63333	32107
3.64167	38895
3.65000	45243
3.65833	50557
3.66667	53813
3.67500	54863
3.68333	53602
3.69167	49900
3.70000	44588
3.70833	38257
3.71667	31350
3.72500	24905
3.73333	19020
3.74167	14119
3.75000	10273
3.75833	7343
3.76667	5270
3.77500	3835
3.78333	2890
3.79167	2289
3.80000	1915
3.80833	1692
3.81667	1560
3.82500	1485
3.83333	1445
3.84167	1424
3.85000	1416
3.85833	1413
3.86667	1413
3.87500	1414
3.88333	1412
3.89167	1408
3.90000	1400
3.90833	1391
3.91667	1380
3.92500	1367
3.93333	1353
3.94167	1339
3.95000	1326
3.95833	1314
3.96667	1305
3.97500	1297
3.98333	1290
3.99167	1283
4.00000	1277
4.00833	1273
4.01667	1271
4.02500	1270
4.03333	1271
4.04167	1272
4.05000	1273
4.05833	1273
4.06667	1273
4.07500	1275
4.08333	1278
4.09167	1282
4.10000	1286
4.10833	1290
4.11667	1293
4.12500	1295
4.13333	1295
4.14167	1293
4.15000	1290
4.15833	1285
4.16667	1280
4.17500	1274
4.18333	1267
4.19167	1261
4.20000	1254
4.20833	1248
4.21667	1242
4.22500	1236
4.23333	1231
4.24167	1228
4.25000	1225
4.25833	1222
4.26667	1221
4.27500	1221
4.28333	1221
4.29167	1222
4.30000	1222
4.30833	1223
4.31667	1222
4.32500	1220
4.33333	1218
4.34167	1217
4.35000	1215
4.35833	1215
4.36667	1215
4.37500	1215
4.38333	1215
4.39167	1215
4.40000	1213
4.40833	1212
4.41667	1212
4.42500	1211
4.43333	1211
4.44167	1210
4.45000	1210
4.45833	1210
4.46667	1211
4.47500	1212
4.48333	1214
4.49167	1215
4.50000	1215
4.50833	1214
4.51667	1213
4.52500	1212
4.53333	1211
4.54167	1209
4.55000	1207
4.55833	1205
4.56667	1203
4.57500	1202
4.58333	1201
4.59167	1201
4.60000	1201
4.60833	1200
4.61667	1197
4.62500	1194
4.63333	1191
4.64167	1189
4.65000	1190
4.65833	1192
4.66667	1194
4.67500	1196
4.68333	1197
4.69167	1196
4.70000	1194
4.70833	1191
4.71667	1189
4.72500	1188
4.73333	1189
4.74167	1190
4.75000	1191
4.75833	1192
4.76667	1192
4.77500	1192
4.78333	1190
4.79167	1189
4.80000	1189
4.80833	1189
4.81667	1189
4.82500	1189
4.83333	1189
4.84167	1189
4.85000	1188
4.85833	1188
4.86667	1187
4.87500	1187
4.88333	1188
4.89167	1188
4.90000	1188
4.90833	1188
4.91667	1187
4.92500	1186
4.93333	1185
4.94167	1186
4.95000	1189
4.95833	1193
4.96667	1196
4.97500	1198
4.98333	1200
4.99167	1201
5.00000	1200
5.00833	1200
5.01667	1200
5.02500	1201
5.03333	1202
5.04167	1204
5.05000	1206
5.05833	1208
5.06667	1210
5.07500	1211
5.08333	1210
5.09167	1208
5.10000	1206
5.10833	1205
5.11667	1204
5.12500	1204
5.13333	1205
5.14167	1205
5.15000	1205
5.15833	1204
5.16667	1202
5.17500	1200
5.18333	1199
5.19167	1199
5.20000	1200
5.20833	1203
5.21667	1205
5.22500	1208
5.23333	1212
5.24167	1216
5.25000	1222
5.25833	1229
5.26667	1240
5.27500	1255
5.28333	1276
5.29167	1306
5.30000	1347
5.30833	1402
5.31667	1476
5.32500	1572
5.33333	1699
5.34167	1859
5.35000	2062
5.35833	2311
5.36667	2610
5.37500	2971
5.38333	3378
5.39167	3849
5.40000	4361
5.40833	4904
5.41667	5478
5.42500	6032
5.43333	6573
5.44167	7055
5.45000	7458
