,,,,
X(I),,,,
ARR_DATA(I),"Integral(6.021095,5.089805)",,,
0.000,3137.93,,,
65.000,4777.16,,,
374.000,4995.87,,,
553.000,5815.83,,,
732.000,7533.08,,,
911.000,7591.58,,,
1090.000,9171.65,,,
1269.000,9876.09,,,
1449.000,11705.5,,,
1628.000,11616.5,,,
1807.000,12936.8,,,
1986.000,14034.1,,,
2165.000,14833,,,
2343.000,14174.6,,,
2523.000,15746.6,,,
2702.000,15631,,,
2881.000,17990.5,,,
3060.000,19216.6,,,
3239.000,21567.9,,,
3418.000,20719.7,,,
3597.000,22229.7,,,
3776.000,22545,,,
3955.000,23685.7,,,
4134.000,25292.3,,,
4313.000,24457,,,
4492.000,26640.3,,,
4671.000,27047.3,,,
4850.000,27713.8,,,
5029.000,29685,,,
5208.000,30014.2,,,
5388.000,29555.1,,,
5566.000,31086.4,,,
5745.000,31530.6,,,
5924.000,31464.5,,,
6103.000,32835.2,,,
6283.000,33075.8,,,
6461.000,33402,,,
6640.000,34163.4,,,
6819.000,34835.4,,,
6998.000,35922.4,,,
7180.000,36101.9,,,
7359.000,38592.4,,,
7538.000,37712.8,,,
7717.000,37776.6,,,
7896.000,38641.3,,,
8075.000,39244.6,,,
8254.000,40235.2,,,
8433.000,39514,,,
8612.000,39980.2,,,
8791.000,40732.1,,,
8970.000,40197.8,,,
9149.000,41391.8,,,
9327.000,40823.5,,,
9506.000,42080.7,,,
9685.000,41596.6,,,
9864.000,42026.4,,,
10043.000,42309.7,,,
10222.000,42963.9,,,
10401.000,43566.9,,,
10580.000,43082.1,,,
