,,,,
,,,,
ARR_DATA(I),"Integral(10.302802,9.274293)",,,
0,2.19392,,,
230,0.0542018,,,
472,1.69494,,,
651,1.33796,,,
830,0.00625971,,,
1009,0.0520646,,,
1188,0.034358,,,
1367,0.0246924,,,
1546,0.0846055,,,
1725,0.0223776,,,
1904,0.0642342,,,
2083,1.80739,,,
2261,1.93974,,,
2440,0.160539,,,
2619,1.59006E-05,,,
2798,4.11601E-06,,,
2977,6.92016E-05,,,
3105,1.99923,,,
3335,2.9348,,,
3514,1.15802,,,
3692,2.55033,,,
3871,0.127786,,,
4050,0.0483177,,,
4228,0.0238007,,,
4407,0.0730842,,,
4586,1.63424E-05,,,
4765,1.15886,,,
4945,1.14299,,,
5124,2.59588E-05,,,
5303,-0.083004,,,
5482,0.694913,,,
5661,0.000779397,,,
5840,-0.0697787,,,
6020,-0.130645,,,
6199,0.169333,,,
6379,181.361,,,
6558,206.184,,,
6737,0.000323229,,,
6916,230.721,,,
7095,245.271,,,
7273,258.363,,,
7452,259.441,,,
7631,0.127872,,,
7810,242.904,,,
7989,0.13461,,,
8168,-0.0593155,,,
8347,207.375,,,
8525,256.713,,,
8704,316.601,,,
8883,301.976,,,
9062,276.411,,,
9241,242.344,,,
9419,301.009,,,
9599,287.744,,,
9778,229.88,,,
9957,278.285,,,
10136,315.534,,,
10315,306.406,,,
10494,333.656,,,
10673,267.554,,,
