,,,,,,
#,X(I),Y(X),,,,
Model,ARR_DATA(I),"Integral(6.002,4.988)",,,,
1,0.000,3283.443,,,,
2,182.000,9423.079,,,,
3,364.000,22502.699,,,,
4,546.000,44968.870,,,,
5,728.000,65364.897,,,,
6,910.000,93728.907,,,,
7,1092.000,95082.219,,,,
8,1273.000,78391.802,,,,
9,1455.000,103532.065,,,,
10,1637.000,106763.563,,,,
11,1819.000,114063.142,,,,
12,2001.000,108938.921,,,,
13,2183.000,110402.916,,,,
14,2365.000,104087.969,,,,
15,2546.000,106485.219,,,,
16,2728.000,107845.500,,,,
17,2910.000,99025.311,,,,
18,3092.000,111252.384,,,,
19,3274.000,110462.833,,,,
20,3456.000,99293.204,,,,
21,3638.000,96462.028,,,,
22,3820.000,100507.454,,,,
23,4001.000,108173.395,,,,
24,4186.000,106227.054,,,,
25,4368.000,98147.029,,,,
26,4550.000,104480.019,,,,
27,4732.000,101640.761,,,,
28,4914.000,98071.467,,,,
29,5095.000,100279.383,,,,
30,5277.000,94680.127,,,,
