,,,,
ARR_DATA(I),"Integral(6.111708,5.093272)",,,
0,3086.57,,,
230,2165.49,,,
472,3178.64,,,
651,2852.3,,,
830,2028.37,,,
1009,2191.63,,,
1188,2140.36,,,
1367,2141.67,,,
1546,2492.77,,,
1725,2206.48,,,
1904,2442.24,,,
2083,3311.88,,,
2261,3434.86,,,
2440,2464.87,,,
2619,2291.13,,,
2798,2371.61,,,
2977,2444.06,,,
3105,3742.4,,,
3335,4492.08,,,
3514,3310.48,,,
3692,4126.43,,,
3871,3267.32,,,
4050,2974.78,,,
4228,2879.38,,,
4407,3133.89,,,
4586,2785.07,,,
4765,3778.15,,,
4945,3679.33,,,
5124,2964.18,,,
5303,3328.23,,,
5482,3478.99,,,
5661,3098.93,,,
5840,3448.38,,,
6020,3771.28,,,
6199,3945.56,,,
6379,3650.7,,,
6558,3287.61,,,
6737,3137.17,,,
6916,3427.38,,,
7095,3844.34,,,
7273,3799.93,,,
7452,4091.06,,,
7631,4045.2,,,
7810,4075.02,,,
7989,4017.5,,,
8168,4142.72,,,
8347,3559.74,,,
8525,5927.87,,,
8704,6269.89,,,
8883,4108.42,,,
9062,4315.61,,,
9241,4290.08,,,
9419,4105.61,,,
9599,4095.08,,,
9778,3895.74,,,
9957,4416.97,,,
10136,4249.42,,,
10315,4374.15,,,
10494,4516.38,,,
10673,4690.07,,,
