,,,,,,
#,X(I),Y(X),,,,
Model,ARR_DATA(I),"Integral(6.026,5.000)",,,,
1,0.000,13696.204,,,,
2,181.000,69527.880,,,,
3,363.000,95600.317,,,,
4,545.000,107510.305,,,,
5,727.000,101643.051,,,,
6,909.000,101569.273,,,,
7,1091.000,99749.465,,,,
8,1273.000,102999.268,,,,
9,1455.000,103200.649,,,,
10,1636.000,103594.143,,,,
11,1818.000,99456.091,,,,
12,2000.000,102785.065,,,,
13,2182.000,100625.805,,,,
14,2364.000,94664.469,,,,
15,2546.000,89081.909,,,,
16,2728.000,90465.557,,,,
17,2909.000,90786.332,,,,
18,3091.000,99612.242,,,,
19,3273.000,92006.894,,,,
20,3455.000,90493.062,,,,
21,3637.000,91304.861,,,,
22,3819.000,97542.880,,,,
23,4001.000,95075.771,,,,
24,4183.000,91679.130,,,,
25,4364.000,84557.007,,,,
26,4546.000,91148.522,,,,
27,4728.000,90999.491,,,,
28,4910.000,100831.901,,,,
29,5092.000,85994.504,,,,
30,5274.000,96259.048,,,,
