X(I),,,,,
ARR_DATA(I),"Integral(10.293329,9.373550)",,,,
0.000,0.753115,,,,
182.000,0.0510474,,,,
364.000,0.023337,,,,
546.000,106.761,,,,
728.000,118.815,,,,
909.000,145.13,,,,
1091.000,198.346,,,,
1273.000,166.248,,,,
1455.000,195.879,,,,
1637.000,232.125,,,,
1819.000,386.136,,,,
2001.000,290.546,,,,
2183.000,448.311,,,,
2364.000,321.642,,,,
2546.000,523.165,,,,
2728.000,490.546,,,,
2910.000,600.121,,,,
3092.000,571.782,,,,
3274.000,723.989,,,,
3456.000,811.046,,,,
3638.000,906.824,,,,
3820.000,1003.4,,,,
4001.000,1277.1,,,,
4183.000,1176.08,,,,
4365.000,1339.68,,,,
4547.000,1420.36,,,,
4729.000,1430,,,,
4911.000,1382.87,,,,
5093.000,1778.7,,,,
5275.000,1550.66,,,,
5456.000,1928.67,,,,
5638.000,1862.17,,,,
5820.000,1935.31,,,,
6002.000,1996.05,,,,
6184.000,1707.07,,,,
6366.000,1816.11,,,,
6548.000,2214.71,,,,
6729.000,2051.35,,,,
6911.000,2406.26,,,,
7093.000,2081.64,,,,
7275.000,2386.52,,,,
7457.000,2461.34,,,,
7639.000,2442.63,,,,
7821.000,2459.28,,,,
8003.000,2538.4,,,,
8185.000,2705.21,,,,
8366.000,2617.7,,,,
8548.000,3005.79,,,,
8730.000,2765.2,,,,
8912.000,2825.55,,,,
9094.000,3193.39,,,,
9276.000,3063.42,,,,
9458.000,3191.34,,,,
9640.000,3145.48,,,,
9821.000,3213.25,,,,
10003.000,3537.52,,,,
10185.000,3712.54,,,,
10367.000,3397.54,,,,
10549.000,3450.12,,,,
10731.000,3925.97,,,,
