anti_spiroindane_ester_yield (%),syn_spiroindane_ester_yield (%),phenyl pyrroline_yield (%),2-bromophenyl pyrroline_yield (%),Ethyl phenyl pyrroline_yield (%),mass_balance,
4.4,0.0,0.0,0.0,7.7,12.1,
53.0,2.5,2.9,8.3,15.1,81.8,
13.9,0.0,0.4,0.0,3.6,17.9,
48.5,2.0,4.3,13.4,33.6,101.8,
5.2,10.0,21.4,18.0,27.8,82.4,
31.9,2.5,8.3,5.0,18.5,66.1,
59.4,2.0,12.1,4.0,17.5,94.9,
59.0,2.8,1.1,5.8,12.6,81.3,
56.5,2.8,2.7,7.2,14.5,83.6,
78.0,3.2,6.8,4.7,13.7,106.3,
61.5,3.1,10.0,5.0,18.8,98.4,
29.6,0.6,4.2,12.9,21.9,69.1,
34.5,0.7,2.4,16.0,22.4,76.0,
28.1,17.9,0.7,10.5,2.4,59.7,
20.4,8.6,11.2,8.5,17.0,65.6,
25.4,1.5,7.6,4.2,20.2,58.8,
26.4,4.5,5.4,4.1,16.9,57.2,
68.5,0.0,8.9,8.2,21.1,106.7,
43.3,13.9,11.5,14.1,46.6,129.3,
68.0,5.1,7.4,9.6,25.3,115.3,
57.0,3.4,11.7,6.4,20.5,98.9,
47.0,4.4,6.1,12.1,29.0,98.5,
73.0,5.8,7.7,9.0,28.1,123.5,
73.5,3.9,7.8,21.9,12.1,119.1,
60.0,4.9,7.9,10.6,28.4,111.7,
51.5,1.5,5.4,11.5,30.5,100.3,
48.3,0.0,7.7,4.7,6.2,66.7,
58.5,0.0,9.4,5.7,8.0,81.6,
3.3,0.0,21.8,2.2,15.2,42.4,
6.0,0.0,33.8,2.3,20.3,62.4,
9.8,0.0,1.6,6.5,0.0,17.8,
8.5,0.0,2.2,7.5,0.0,18.2,
38.7,0.0,28.0,6.0,16.5,89.2,
42.5,1.8,24.0,5.5,15.4,89.1,
8.3,1.8,63.5,1.4,13.4,88.3,
3.1,1.7,44.3,2.6,10.6,62.2,
6.2,0.0,45.4,1.8,15.5,68.8,
0.0,0.0,3.5,0.9,6.4,10.8,
1.6,0.0,31.3,1.4,17.3,51.5,
15.0,0.5,1.7,3.0,0.0,20.2,
25.0,2.0,36.1,5.4,14.7,83.1,
58.0,5.1,2.9,8.5,8.5,82.9,
61.5,6.1,5.5,8.7,12.8,94.6,
67.5,9.8,4.2,9.3,13.1,103.8,
58.0,7.0,3.3,7.8,10.2,86.3,
28.0,7.8,1.6,76.0,1.9,115.2,
24.5,6.5,1.5,71.0,1.8,105.2,
14.5,6.7,3.2,193.0,5.6,223.0,
17.3,5.7,4.4,217.5,6.9,251.6,
0.0,0.0,0.0,497.0,0.0,497.0,
0.0,0.0,0.0,530.0,0.0,530.0,
17.5,1.2,5.8,55.5,2.4,82.3,
10.8,3.4,5.8,55.5,2.4,77.9,
29.0,2.8,7.9,38.7,6.5,84.9,
36.6,2.1,2.7,36.6,2.6,80.5,
39.2,2.6,7.7,19.8,6.8,76.1,
46.3,3.9,11.9,27.0,9.7,98.7,
57.5,1.5,5.1,6.0,11.3,81.3,
53.5,1.3,6.6,5.7,13.1,80.1,
6.1,0.9,4.5,30.5,0.9,42.8,
8.9,0.0,4.2,30.8,1.0,44.9,
4.9,0.6,18.6,7.2,1.4,32.7,
2.9,0.0,15.4,6.5,1.4,26.2,
12.8,0.7,62.0,21.0,4.0,100.4,
5.2,0.8,25.4,8.3,0.9,40.4,
0.0,0.0,22.1,8.2,1.6,31.9,
4.4,0.0,23.2,9.3,2.0,38.8,
0.0,0.0,0.0,0.0,0.0,0.0,
49.8,1.5,5.1,16.8,11.1,84.2,
63.0,2.4,5.4,23.6,12.5,106.9,
65.0,1.5,7.9,20.7,17.2,112.3,
44.0,1.4,4.1,15.8,9.9,75.1,
45.7,1.3,1.2,7.3,0.8,56.3,
48.9,2.3,4.4,19.7,11.4,86.6,
58.0,2.0,4.3,17.9,10.5,92.7,
45.3,0.2,3.3,16.4,7.8,72.9,
6.1,0.0,0.5,78.0,2.8,87.4,
5.4,0.0,0.0,8.5,1.6,15.5,
1.0,1.4,1.0,49.2,28.0,80.5,
2.8,1.2,1.3,52.0,29.5,86.8,
46.8,1.0,6.1,6.1,14.5,74.4,
48.3,1.3,17.3,6.9,14.5,88.1,
13.0,0.4,3.3,45.4,0.8,62.9,
3.1,0.0,2.6,43.3,0.8,49.7,
6.9,3.1,2.4,1.9,4.7,18.9,
33.6,9.5,34.2,4.8,37.0,119.0,
3.4,1.9,1.0,0.0,0.9,7.2,
3.8,2.2,49.6,3.5,43.2,102.3,
7.3,1.9,35.0,20.0,11.2,75.2,
8.8,3.4,61.0,32.0,23.3,128.4,
48.0,2.2,3.8,10.7,18.9,83.4,
37.5,3.7,1.9,19.8,12.3,75.2,
18.5,0.3,70.5,3.3,10,102.5,
32.3,3.5,7.3,45.4,11.6,99.9,
1,1,14.8,1.2,3,21,
59,0,4.5,8.2,10.8,82.4,
