2_bromophenylpyrroline,methyl acrylate,decamethylcobaltocene,Lewis acid,Ni_cod,workup_water,workup_sodium_bicarbonate,workup_ammonium_chloride,workup_sodium_carbonate,workup_sodium_hydroxide,BEt3,AlMe3,AlEt3,toluene,benzene,trifluorotoluene,thf,ether,xylene
5,15,10,15,0.1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
20,60,40,60,6.6,1,0,0,0,0,0,0,1,1,0,0,0,0,0
1,3,2,3,0.2,1,0,0,0,0,0,0,1,1,0,0,0,0,0
50,150,100,150,16.6,1,0,0,0,0,0,0,1,1,0,0,0,0,0
10,30,20,5,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0
10,30,20,10,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0
10,30,20,20,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0
10,30,20,50,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,50,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,30,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,30,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0
100,300,200,300,20,1,0,0,0,0,1,0,0,1,0,0,0,0,0
100,300,200,300,20,0,1,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,30,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0
5,15,10,15,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
20,60,40,60,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1,3,2,3,0.2,1,0,0,0,0,1,0,0,1,0,0,0,0,0
25,75,50,75,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0
15,45,30,45,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,30,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,30,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,30,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,0,0,20,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,0,0,20,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
10,30,20,20,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
10,30,20,20,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
10,30,20,20,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10,30,20,20,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10,30,20,20,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
10,30,20,20,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
10,30,20,20,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
10,30,20,20,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
10,10,20,20,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,10,20,20,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,20,20,20,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,20,20,20,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,0.1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,0.1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,0.3,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,0.3,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,0.5,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,0.5,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,0.1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,0.1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,0.3,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,0.3,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,0.5,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,0.5,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,0.8,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10,30,20,20,0.8,1,0,0,0,0,1,0,0,1,0,0,0,0,0
